strain,rat.id,MomAlone,PupsSep,MBT,Mpupiso,Fpupiso,MA
SD,SD22,T0000083,T0000084,T0000085,T0000088,T0000087,T0000100
WK,WK21,T0000089,T0000090,T0000091,T0000093,T0000092,T0000102
WK,WK2A3C1,T0000094,T0000095,T0000096,T0000098,T0000097,T0000109
SD,SD17,T0000103,T0000104,T0000105,T0000106,T0000107,T0000111
SD,SD24,T0000139,T0000140,T0000141,T0000143,T0000142,T0000145
WK,WK26,T0000122,T0000123,T0000124,T0000125,T0000126,T0000138
SD,SD25E4,T0000146,T0000147,T0000152,T0000151,T0000149,T0000159
SD,SD17E3,T0000153,T0000154,T0000155,T0000156,T0000157,T0000161
WK,WK29E2,T0000183,T0000184,T0000185,T0000186,T0000187,T0000199
WK,WK34G1,T0000188,T0000189,T0000190,T0000192,T0000191,T0000203
SD,SD31E5,T0000193,T0000194,T0000195,T0000196,T0000197,T0000201
WK,WK77,T0000226,T0000227,T0000228,T0000229,T0000230,T0000233
SD,SD76,T0000240,T0000241,T0000242,T0000243,T0000244,T0000251
SD,SD78,T0000252,T0000253,T0000254,T0000256,T0000255,T0000260
WK,WK95,T0000301,T0000302,T0000303,T0000304,T0000305,T0000308
