"strain","label","rat.id","mean.dur","sem","count"
"SD","flat","SD17",0.01645,0.00160701586799882,4
"SD","flat","SD17E3",0.0865,0.0131796560400237,3
"SD","flat","SD22",0.02635,0.00485,2
"SD","flat","SD24",0.0368,NA,1
"SD","flat","SD31E5",0.0615878378378378,0.00354654769675472,74
"SD","flat","SD76",0.0393111111111111,0.0125440606180823,9
"SD","flat","SD78",0.0530451612903226,0.00817240417990802,31
"SD","short","SD17",0.00535555555555556,0.000761050281429682,9
"SD","short","SD17E3",0.0066,5e-04,2
"SD","short","SD22",0.0053125,0.000977320955469594,8
"SD","short","SD24",0.00275,0.00025,2
"SD","short","SD31E5",0.00825,0.000825126252965771,4
"SD","short","SD76",0.00615,0.000736303508848666,8
"SD","short","SD78",0.00731538461538462,0.00050195593762163,26
"SD","step up","SD78",0.0266,0.0082,2
"SD","trill","SD17E3",0.0537,NA,1
"SD","trill","SD78",0.0353625,0.00391480420510218,8
"SD","trill-c","SD78",0.042325,0.00504750350833624,4
"SD","trill-f","SD22",0.0296,NA,1
"SD","trill-f","SD78",0.0242,0.00503024187622557,3
"SD","unclear","SD17",0.0266,NA,1
"SD","unclear","SD22",0.0143,NA,1
"SD","unclear","SD78",0.02405,0.00615,2
"SD","upward ramp","SD78",0.02425,0.00945,2
"WK","flat","WK26",0.0407833333333333,0.0039611738594959,48
"WK","flat","WK29E2",0.0179,NA,1
"WK","flat","WK2A3C1",0.0212428571428571,0.00139238697803399,28
"WK","flat","WK77",0.0719,0.0243,2
"WK","flat","WK95",0.0252454545454545,0.00268637517302553,11
"WK","short","WK21",0.00362,0.00034554305086342,5
"WK","short","WK26",0.006855,0.000700093038929752,20
"WK","short","WK29E2",0.0081,NA,1
"WK","short","WK2A3C1",0.00626363636363636,0.000458646274332058,33
"WK","short","WK95",0.00809333333333333,0.000531437105239554,15
"WK","step up","WK26",0.0377571428571429,0.00351939234087073,7
"WK","step up","WK2A3C1",0.0177,0.00133166562369588,3
"WK","step up","WK34G1",0.03785,0.01485,2
"WK","trill","WK26",0.0477333333333333,0.00792008698044269,6
"WK","trill","WK2A3C1",0.0384,NA,1
"WK","trill","WK34G1",0.0388666666666667,0.0071214074763662,3
"WK","trill","WK95",0.0588,NA,1
"WK","trill-c","WK26",0.0587590909090909,0.00237141031307488,44
"WK","trill-c","WK95",0.04306,0.00640972698326536,5
"WK","trill-f","WK26",0.0417,0.00774284616059667,4
"WK","trill-f","WK2A3C1",0.0322,0.001,2
"WK","trill-f","WK95",0.02425,0.00745,2
"WK","unclear","WK21",0.0163,NA,1
"WK","unclear","WK26",0.07123,0.017863482614292,10
"WK","unclear","WK2A3C1",0.02965,0.00213950928953347,4
"WK","unclear","WK95",0.0255666666666667,0.00728796572744716,3
"WK","upward ramp","WK26",0.0202,0.0064,2
"WK","upward ramp","WK2A3C1",0.033575,0.00228364159609032,12
